,id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,0vAio6riryryWWwmkKbBfC,Christmas & Chill,Winter Things,Ariana Grande,False,0,0.507,0.207,0,-10.215,1,0.0998,0.931,0.0,0.229,0.774,68.6,audio_features,spotify:track:0vAio6riryryWWwmkKbBfC,https://api.spotify.com/v1/tracks/0vAio6riryryWWwmkKbBfC,https://api.spotify.com/v1/audio-analysis/0vAio6riryryWWwmkKbBfC,2.6453333333333333,4
1,1OjmlSFuzYflWjSMTCyTJv,Like It's Christmas,Like It's Christmas,Jonas Brothers,False,55,0.725,0.571,1,-6.007,1,0.102,0.0183,0.0,0.0519,0.61,146.035,audio_features,spotify:track:1OjmlSFuzYflWjSMTCyTJv,https://api.spotify.com/v1/tracks/1OjmlSFuzYflWjSMTCyTJv,https://api.spotify.com/v1/audio-analysis/1OjmlSFuzYflWjSMTCyTJv,3.348,4
2,5a1iz510sv2W9Dt1MvFd5R,Christmas (Deluxe Special Edition),It's Beginning to Look a Lot like Christmas,Michael Bublé,False,66,0.339,0.214,4,-11.714,1,0.0375,0.908,7.47e-06,0.341,0.363,94.775,audio_features,spotify:track:5a1iz510sv2W9Dt1MvFd5R,https://api.spotify.com/v1/tracks/5a1iz510sv2W9Dt1MvFd5R,https://api.spotify.com/v1/audio-analysis/5a1iz510sv2W9Dt1MvFd5R,3.444,3
3,7xapw9Oy21WpfEcib2ErSA,Under The Mistletoe (Deluxe Edition),Mistletoe,Justin Bieber,False,66,0.657,0.56,6,-9.049,0,0.0467,0.498,0.0,0.0794,0.854,161.993,audio_features,spotify:track:7xapw9Oy21WpfEcib2ErSA,https://api.spotify.com/v1/tracks/7xapw9Oy21WpfEcib2ErSA,https://api.spotify.com/v1/audio-analysis/7xapw9Oy21WpfEcib2ErSA,3.0491166666666665,4
4,0bYg9bo50gSsH3LtXe2SQn,Merry Christmas,All I Want for Christmas Is You,Mariah Carey,False,73,0.336,0.627,7,-7.463,1,0.0384,0.164,0.0,0.0708,0.35,150.273,audio_features,spotify:track:0bYg9bo50gSsH3LtXe2SQn,https://api.spotify.com/v1/tracks/0bYg9bo50gSsH3LtXe2SQn,https://api.spotify.com/v1/audio-analysis/0bYg9bo50gSsH3LtXe2SQn,4.01845,4
5,1ADjWm8QNhgNV8yCNNgQ1T,Santa Tell Me,Santa Tell Me,Ariana Grande,False,0,0.464,0.63,7,-7.337,1,0.182,0.0464,0.0,0.295,0.527,132.96,audio_features,spotify:track:1ADjWm8QNhgNV8yCNNgQ1T,https://api.spotify.com/v1/tracks/1ADjWm8QNhgNV8yCNNgQ1T,https://api.spotify.com/v1/audio-analysis/1ADjWm8QNhgNV8yCNNgQ1T,3.40155,5
6,1Qi2wh8fFgDV7tl4Sj3f2K,Have Yourself A Merry Little Christmas,Have Yourself A Merry Little Christmas,Sam Smith,False,55,0.438,0.178,5,-9.402,1,0.0414,0.957,0.0,0.316,0.344,75.248,audio_features,spotify:track:1Qi2wh8fFgDV7tl4Sj3f2K,https://api.spotify.com/v1/tracks/1Qi2wh8fFgDV7tl4Sj3f2K,https://api.spotify.com/v1/audio-analysis/1Qi2wh8fFgDV7tl4Sj3f2K,2.8494,1
7,0RIu23uyX5MTWApqfP549n,Last Christmas,Last Christmas,Ariana Grande,False,0,0.673,0.794,7,-2.758,1,0.0275,0.117,0.0,0.0934,0.786,102.961,audio_features,spotify:track:0RIu23uyX5MTWApqfP549n,https://api.spotify.com/v1/tracks/0RIu23uyX5MTWApqfP549n,https://api.spotify.com/v1/audio-analysis/0RIu23uyX5MTWApqfP549n,3.4113333333333333,4
8,0zXjeGMMe7esPTvqJCN5d8,A Very Special Christmas 25th Anniversary,Winter Wonderland,Jason Mraz,False,26,0.609,0.359,5,-6.715,1,0.0468,0.777,0.0,0.221,0.645,145.178,audio_features,spotify:track:0zXjeGMMe7esPTvqJCN5d8,https://api.spotify.com/v1/tracks/0zXjeGMMe7esPTvqJCN5d8,https://api.spotify.com/v1/audio-analysis/0zXjeGMMe7esPTvqJCN5d8,2.118,4
9,0mansMnyTsIp9ALspSyLwL,Love Is Everything,Love Is Everything,Ariana Grande,False,0,0.565,0.927,11,-3.473,1,0.0963,0.081,0.0,0.168,0.808,180.064,audio_features,spotify:track:0mansMnyTsIp9ALspSyLwL,https://api.spotify.com/v1/tracks/0mansMnyTsIp9ALspSyLwL,https://api.spotify.com/v1/audio-analysis/0mansMnyTsIp9ALspSyLwL,3.562666666666667,4
10,3eYnKe0LhQA1B5HEkQaRTP,Under The Mistletoe (Deluxe Edition),The Christmas Song (Chestnuts Roasting On An Open Fire),"Justin Bieber, Usher",False,49,0.533,0.436,9,-9.542,0,0.0289,0.45,0.0,0.102,0.169,103.477,audio_features,spotify:track:3eYnKe0LhQA1B5HEkQaRTP,https://api.spotify.com/v1/tracks/3eYnKe0LhQA1B5HEkQaRTP,https://api.spotify.com/v1/audio-analysis/3eYnKe0LhQA1B5HEkQaRTP,3.586,3
11,5BYz6McvNTXD60vRFLkIMw,Holiday For Swing!,"Baby, It's Cold Outside","Seth MacFarlane, Sara Bareilles",False,27,0.557,0.462,9,-7.093,1,0.0404,0.763,0.0,0.0833,0.551,119.125,audio_features,spotify:track:5BYz6McvNTXD60vRFLkIMw,https://api.spotify.com/v1/tracks/5BYz6McvNTXD60vRFLkIMw,https://api.spotify.com/v1/audio-analysis/5BYz6McvNTXD60vRFLkIMw,2.978666666666667,4
12,4Sb4ZLaYApWRk0fKLah9rB,The Big Christmas Album,My Only Wish (This Year),"Santa Claus, Santa Clause, Silent Night",False,0,0.711,0.719,7,-8.151,1,0.0361,0.1,0.0,0.113,0.575,146.956,audio_features,spotify:track:4Sb4ZLaYApWRk0fKLah9rB,https://api.spotify.com/v1/tracks/4Sb4ZLaYApWRk0fKLah9rB,https://api.spotify.com/v1/audio-analysis/4Sb4ZLaYApWRk0fKLah9rB,4.3817,4
13,1MwqAFLFhVGgfo30y1dXpe,Santa Baby,Santa Baby,"Ariana Grande, Liz Gillies",False,0,0.756,0.781,0,-5.722,1,0.119,0.05,0.0,0.301,0.808,96.012,audio_features,spotify:track:1MwqAFLFhVGgfo30y1dXpe,https://api.spotify.com/v1/tracks/1MwqAFLFhVGgfo30y1dXpe,https://api.spotify.com/v1/audio-analysis/1MwqAFLFhVGgfo30y1dXpe,2.85845,4
14,5o9JHeY8e47bXCjSZOnD7b,That's Christmas To Me,Winter Wonderland / Don't Worry Be Happy (feat. Tori Kelly),"Pentatonix, Tori Kelly",False,0,0.53,0.398,6,-8.506,1,0.0523,0.274,0.0,0.0858,0.717,129.592,audio_features,spotify:track:5o9JHeY8e47bXCjSZOnD7b,https://api.spotify.com/v1/tracks/5o9JHeY8e47bXCjSZOnD7b,https://api.spotify.com/v1/audio-analysis/5o9JHeY8e47bXCjSZOnD7b,3.4642166666666667,4
15,6tjituizSxwSmBB5vtgHZE,Christmas,Holly Jolly Christmas,Michael Bublé,False,49,0.647,0.465,7,-8.308,1,0.0428,0.865,0.0,0.0882,0.699,151.251,audio_features,spotify:track:6tjituizSxwSmBB5vtgHZE,https://api.spotify.com/v1/tracks/6tjituizSxwSmBB5vtgHZE,https://api.spotify.com/v1/audio-analysis/6tjituizSxwSmBB5vtgHZE,1.99645,4
16,0VJ3I1e8WKHpMXEEtx0tLN,Have Yourself A Merry Little Christmas - Single,Have Yourself A Merry Little Christmas,Andrew Belle,False,18,0.639,0.449,3,-7.768,1,0.0277,0.298,0.0153,0.129,0.13,122.02,audio_features,spotify:track:0VJ3I1e8WKHpMXEEtx0tLN,https://api.spotify.com/v1/tracks/0VJ3I1e8WKHpMXEEtx0tLN,https://api.spotify.com/v1/audio-analysis/0VJ3I1e8WKHpMXEEtx0tLN,3.821283333333333,4
17,3dwQdPUdCoxq3q9gCv5nbn,Snow In California,Snow In California,Ariana Grande,False,0,0.609,0.541,1,-5.997,1,0.0511,0.294,0.0,0.332,0.477,134.795,audio_features,spotify:track:3dwQdPUdCoxq3q9gCv5nbn,https://api.spotify.com/v1/tracks/3dwQdPUdCoxq3q9gCv5nbn,https://api.spotify.com/v1/audio-analysis/3dwQdPUdCoxq3q9gCv5nbn,3.461333333333333,4
18,2wCPMWR3y4xclijuCcLJv7,Four Christmases,Jingle Bell Rock,Bobby Helms,False,0,0.709,0.506,2,-5.628,1,0.0377,0.844,0.0,0.062,0.682,119.345,audio_features,spotify:track:2wCPMWR3y4xclijuCcLJv7,https://api.spotify.com/v1/tracks/2wCPMWR3y4xclijuCcLJv7,https://api.spotify.com/v1/audio-analysis/2wCPMWR3y4xclijuCcLJv7,2.19245,4
19,5hslUAKq9I9CG2bAulFkHN,The Andy Williams Christmas Album,It's the Most Wonderful Time of the Year,Andy Williams,False,65,0.24,0.598,7,-8.435,1,0.0369,0.766,0.0,0.117,0.776,201.629,audio_features,spotify:track:5hslUAKq9I9CG2bAulFkHN,https://api.spotify.com/v1/tracks/5hslUAKq9I9CG2bAulFkHN,https://api.spotify.com/v1/audio-analysis/5hslUAKq9I9CG2bAulFkHN,2.532216666666667,3
20,1prYSRBfwPvE3v8jSRZL3Q,My Kind Of Christmas,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,False,0,0.504,0.287,1,-11.109,1,0.0346,0.782,1.9e-06,0.218,0.707,133.928,audio_features,spotify:track:1prYSRBfwPvE3v8jSRZL3Q,https://api.spotify.com/v1/tracks/1prYSRBfwPvE3v8jSRZL3Q,https://api.spotify.com/v1/audio-analysis/1prYSRBfwPvE3v8jSRZL3Q,1.9597833333333334,4
21,5PuKlCjfEVIXl0ZBp5ZW9g,Christmas (Deluxe Special Edition),Holly Jolly Christmas,Michael Bublé,False,60,0.647,0.465,7,-8.308,1,0.0428,0.865,0.0,0.0882,0.699,151.251,audio_features,spotify:track:5PuKlCjfEVIXl0ZBp5ZW9g,https://api.spotify.com/v1/tracks/5PuKlCjfEVIXl0ZBp5ZW9g,https://api.spotify.com/v1/audio-analysis/5PuKlCjfEVIXl0ZBp5ZW9g,1.99645,4
22,7taXf5odg9xCAZERYfyOkS,The Definite Best,Feliz Navidad,José Feliciano,False,55,0.485,0.857,2,-7.059,1,0.0442,0.534,0.0,0.347,0.963,148.749,audio_features,spotify:track:7taXf5odg9xCAZERYfyOkS,https://api.spotify.com/v1/tracks/7taXf5odg9xCAZERYfyOkS,https://api.spotify.com/v1/audio-analysis/7taXf5odg9xCAZERYfyOkS,3.0393333333333334,4
23,1RMDXedcRno6rDBCbNHDJf,Christmas (Deluxe Special Edition),Santa Claus Is Coming to Town,Michael Bublé,False,55,0.594,0.389,10,-7.109,1,0.0517,0.785,0.0,0.0313,0.396,122.331,audio_features,spotify:track:1RMDXedcRno6rDBCbNHDJf,https://api.spotify.com/v1/tracks/1RMDXedcRno6rDBCbNHDJf,https://api.spotify.com/v1/audio-analysis/1RMDXedcRno6rDBCbNHDJf,2.85155,4
24,2L9QLAhrvtP4EYg1lY0Tnw,A Winter Romance,Rudolph The Red-Nosed Reindeer,Dean Martin,False,51,0.478,0.201,7,-16.768,1,0.0332,0.919,0.0,0.0854,0.857,136.471,audio_features,spotify:track:2L9QLAhrvtP4EYg1lY0Tnw,https://api.spotify.com/v1/tracks/2L9QLAhrvtP4EYg1lY0Tnw,https://api.spotify.com/v1/audio-analysis/2L9QLAhrvtP4EYg1lY0Tnw,2.2626666666666666,4
25,10JBIfvldDR2TnT5sphGc2,"Save Me, San Francisco (Golden Gate Edition)",Shake up Christmas,Train,False,0,0.492,0.828,0,-2.14,1,0.0662,0.00253,0.0,0.342,0.567,81.409,audio_features,spotify:track:10JBIfvldDR2TnT5sphGc2,https://api.spotify.com/v1/tracks/10JBIfvldDR2TnT5sphGc2,https://api.spotify.com/v1/audio-analysis/10JBIfvldDR2TnT5sphGc2,3.870216666666667,4
26,3Xr6kOC4De4Lk41lF9nzTy,Under The Mistletoe (Deluxe Edition),Christmas Love,Justin Bieber,False,0,0.632,0.515,10,-8.444,1,0.0292,0.567,0.0,0.329,0.473,99.936,audio_features,spotify:track:3Xr6kOC4De4Lk41lF9nzTy,https://api.spotify.com/v1/tracks/3Xr6kOC4De4Lk41lF9nzTy,https://api.spotify.com/v1/audio-analysis/3Xr6kOC4De4Lk41lF9nzTy,3.44645,4
