id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
1YLUxdSfbsXYktpkp1aUvd,Pelicans We,The Fly,Cosmo Sheldrake,False,0,0.865,0.694,10,-6.358,0,0.0431,0.252,0.000842,0.11,0.661,103.988,audio_features,spotify:track:1YLUxdSfbsXYktpkp1aUvd,https://api.spotify.com/v1/tracks/1YLUxdSfbsXYktpkp1aUvd,https://api.spotify.com/v1/audio-analysis/1YLUxdSfbsXYktpkp1aUvd,3.5656333333333334,4
57HwKH3pHLeelTkckr94qf,Beware of the Maniacs,Horny Hippies,The Dodos,False,47,0.449,0.541,11,-10.299,0,0.0417,0.0873,0.0,0.17,0.276,125.156,audio_features,spotify:track:57HwKH3pHLeelTkckr94qf,https://api.spotify.com/v1/tracks/57HwKH3pHLeelTkckr94qf,https://api.spotify.com/v1/audio-analysis/57HwKH3pHLeelTkckr94qf,2.984933333333333,4
4Dy9SM605DwtyqEHGUj1ZD,Husbands,"You, Me, Cellphones",Husbands,False,0,0.512,0.55,0,-8.264,1,0.0272,0.00688,0.000839,0.106,0.48,99.905,audio_features,spotify:track:4Dy9SM605DwtyqEHGUj1ZD,https://api.spotify.com/v1/tracks/4Dy9SM605DwtyqEHGUj1ZD,https://api.spotify.com/v1/audio-analysis/4Dy9SM605DwtyqEHGUj1ZD,3.6432166666666665,4
290xSzR8Ee9fm82poMg4od,Quiet Ferocity,Used to Be in Love,The Jungle Giants,False,62,0.83,0.631,11,-5.238,0,0.0313,0.0022,0.0359,0.0539,0.877,128.013,audio_features,spotify:track:290xSzR8Ee9fm82poMg4od,https://api.spotify.com/v1/tracks/290xSzR8Ee9fm82poMg4od,https://api.spotify.com/v1/audio-analysis/290xSzR8Ee9fm82poMg4od,3.7131166666666666,4
5ySZ6gVWw9XQf1Dxg4gj2M,Time Capsules II,Heart,Oberhofer,False,22,0.403,0.732,9,-7.386,0,0.0452,0.748,0.379,0.114,0.195,162.576,audio_features,spotify:track:5ySZ6gVWw9XQf1Dxg4gj2M,https://api.spotify.com/v1/tracks/5ySZ6gVWw9XQf1Dxg4gj2M,https://api.spotify.com/v1/audio-analysis/5ySZ6gVWw9XQf1Dxg4gj2M,4.186216666666667,4
5x2iDSe6UhPogU7tdOsI9L,The Hustle Unlimited,The Hustle Unlimited,Lambchop,False,39,0.601,0.478,6,-14.561,1,0.0295,0.372,0.867,0.326,0.486,111.028,audio_features,spotify:track:5x2iDSe6UhPogU7tdOsI9L,https://api.spotify.com/v1/tracks/5x2iDSe6UhPogU7tdOsI9L,https://api.spotify.com/v1/audio-analysis/5x2iDSe6UhPogU7tdOsI9L,5.479716666666667,4
7bzfyzaZjqai1wTEJsxTOF,Sinatra And Swingin' Brass,I Get A Kick Out Of You,Frank Sinatra,False,0,0.393,0.385,5,-10.985,0,0.0396,0.547,0.0,0.545,0.777,177.956,audio_features,spotify:track:7bzfyzaZjqai1wTEJsxTOF,https://api.spotify.com/v1/tracks/7bzfyzaZjqai1wTEJsxTOF,https://api.spotify.com/v1/audio-analysis/7bzfyzaZjqai1wTEJsxTOF,3.2348833333333333,4
6UaocmOO1bO7YwfHv9Kqcy,The Way We Were: The Best Of Gladys Knight & The Pips,Midnight Train to Georgia,Gladys Knight & The Pips,False,60,0.579,0.477,10,-8.539,0,0.0367,0.127,0.0,0.0974,0.537,89.724,audio_features,spotify:track:6UaocmOO1bO7YwfHv9Kqcy,https://api.spotify.com/v1/tracks/6UaocmOO1bO7YwfHv9Kqcy,https://api.spotify.com/v1/audio-analysis/6UaocmOO1bO7YwfHv9Kqcy,4.668216666666667,4
6rJGYKNLvDeXl021XUT8SK,About Face,Camberwell,#1 Dads,False,0,0.809,0.434,5,-10.688,1,0.0363,0.579,0.47,0.0827,0.788,120.034,audio_features,spotify:track:6rJGYKNLvDeXl021XUT8SK,https://api.spotify.com/v1/tracks/6rJGYKNLvDeXl021XUT8SK,https://api.spotify.com/v1/audio-analysis/6rJGYKNLvDeXl021XUT8SK,3.832666666666667,4
6w6bztcdjdwRtHkrVBexGE,The Pleasant Trees (Volume 3),Miffed,Tom Rosenthal,False,41,0.783,0.579,5,-11.799,0,0.281,0.944,0.147,0.12,0.37,155.79,audio_features,spotify:track:6w6bztcdjdwRtHkrVBexGE,https://api.spotify.com/v1/tracks/6w6bztcdjdwRtHkrVBexGE,https://api.spotify.com/v1/audio-analysis/6w6bztcdjdwRtHkrVBexGE,3.2123166666666667,3
67dDXJ2BkhEdCaM4cvTOw6,Hide & Seek,Common World,Yes I'm Very Tired Now,False,27,0.756,0.672,0,-6.847,0,0.0454,0.198,0.387,0.0859,0.642,97.987,audio_features,spotify:track:67dDXJ2BkhEdCaM4cvTOw6,https://api.spotify.com/v1/tracks/67dDXJ2BkhEdCaM4cvTOw6,https://api.spotify.com/v1/audio-analysis/67dDXJ2BkhEdCaM4cvTOw6,3.6456166666666667,4
42IE9djoOoTpW5BGxKlPA1,Hearts,Hearts,CHILDREN,False,4,0.715,0.464,2,-7.807,0,0.0416,0.0757,0.000588,0.221,0.411,108.995,audio_features,spotify:track:42IE9djoOoTpW5BGxKlPA1,https://api.spotify.com/v1/tracks/42IE9djoOoTpW5BGxKlPA1,https://api.spotify.com/v1/audio-analysis/42IE9djoOoTpW5BGxKlPA1,3.1633833333333334,4
4S61nFbE4MU8I0SeiI2Ebw,Beat Tape,Disco,Benny Sings,False,0,0.823,0.551,6,-11.649,1,0.0372,0.112,0.412,0.092,0.962,100.987,audio_features,spotify:track:4S61nFbE4MU8I0SeiI2Ebw,https://api.spotify.com/v1/tracks/4S61nFbE4MU8I0SeiI2Ebw,https://api.spotify.com/v1/audio-analysis/4S61nFbE4MU8I0SeiI2Ebw,3.06345,4
4nZNT7iFMpKBz90niaVh6O,Cupa Cupa (Little People Remix),Cupa Cupa - Little People Remix,"Parra for Cuva, Little People",False,0,0.694,0.648,10,-7.954,1,0.0377,0.139,0.85,0.0628,0.0913,115.005,audio_features,spotify:track:4nZNT7iFMpKBz90niaVh6O,https://api.spotify.com/v1/tracks/4nZNT7iFMpKBz90niaVh6O,https://api.spotify.com/v1/audio-analysis/4nZNT7iFMpKBz90niaVh6O,4.43055,4
6SeMUbVazXNQ1ofAaZIMOj,DJ-Kicks (DJ Koze) [DJ Mix],Surrender (Kosi Edit) - mixed,"Portable, L_cio",False,0,0.714,0.759,7,-12.869,1,0.0389,0.0116,0.248,0.0998,0.849,119.994,audio_features,spotify:track:6SeMUbVazXNQ1ofAaZIMOj,https://api.spotify.com/v1/tracks/6SeMUbVazXNQ1ofAaZIMOj,https://api.spotify.com/v1/audio-analysis/6SeMUbVazXNQ1ofAaZIMOj,6.922883333333333,4
3TxH9hjKCNlHTUQsPiUaLK,Bloodflow,Bloodflow - Edit,Grandbrothers,False,48,0.488,0.663,3,-12.098,0,0.0325,0.591,0.908,0.118,0.246,97.021,audio_features,spotify:track:3TxH9hjKCNlHTUQsPiUaLK,https://api.spotify.com/v1/tracks/3TxH9hjKCNlHTUQsPiUaLK,https://api.spotify.com/v1/audio-analysis/3TxH9hjKCNlHTUQsPiUaLK,3.6679,4
73rarLN1ixtnfgjtAZpOIN,Plump (Chapters 1 & 2),Every Soul,Twiddle,False,37,0.563,0.872,11,-6.548,0,0.053,0.117,0.00108,0.103,0.886,124.2,audio_features,spotify:track:73rarLN1ixtnfgjtAZpOIN,https://api.spotify.com/v1/tracks/73rarLN1ixtnfgjtAZpOIN,https://api.spotify.com/v1/audio-analysis/73rarLN1ixtnfgjtAZpOIN,5.883933333333333,4
1eamsmwcYYhJwTgMFdQ6YN,Rip It Up,Rip It Up,Orange Juice,False,55,0.881,0.546,7,-9.357,1,0.0407,0.0532,0.000149,0.0497,0.852,102.814,audio_features,spotify:track:1eamsmwcYYhJwTgMFdQ6YN,https://api.spotify.com/v1/tracks/1eamsmwcYYhJwTgMFdQ6YN,https://api.spotify.com/v1/audio-analysis/1eamsmwcYYhJwTgMFdQ6YN,5.340216666666667,4
2vLaES21zwbX1Rnmj56Bbb,Spinners,I'll Be Around,The Spinners,False,63,0.593,0.791,8,-8.698,0,0.068,0.175,0.0,0.0976,0.63,112.295,audio_features,spotify:track:2vLaES21zwbX1Rnmj56Bbb,https://api.spotify.com/v1/tracks/2vLaES21zwbX1Rnmj56Bbb,https://api.spotify.com/v1/audio-analysis/2vLaES21zwbX1Rnmj56Bbb,3.1466666666666665,4
55VEFo10oIYim0iVJHTQ6Y,Pocket Revolution,The Real Sugar,dEUS,False,25,0.759,0.508,2,-8.185,0,0.0269,0.218,0.261,0.121,0.525,117.778,audio_features,spotify:track:55VEFo10oIYim0iVJHTQ6Y,https://api.spotify.com/v1/tracks/55VEFo10oIYim0iVJHTQ6Y,https://api.spotify.com/v1/audio-analysis/55VEFo10oIYim0iVJHTQ6Y,3.9791166666666666,4
3i18lq8Td6XWWqbD1vYX6D,Peter Doherty & The Puta Madres,All At Sea,"Peter Doherty, The Puta Madres",False,31,0.565,0.52,4,-10.681,1,0.0333,0.556,0.137,0.0748,0.378,103.515,audio_features,spotify:track:3i18lq8Td6XWWqbD1vYX6D,https://api.spotify.com/v1/tracks/3i18lq8Td6XWWqbD1vYX6D,https://api.spotify.com/v1/audio-analysis/3i18lq8Td6XWWqbD1vYX6D,4.2282166666666665,4
366ZWAQxSeFY4HTXUJ1Kix,Soliloquy,It's you,"Lou Doillon, Cat Power",False,38,0.575,0.305,11,-11.09,1,0.0507,0.879,0.000136,0.104,0.277,117.091,audio_features,spotify:track:366ZWAQxSeFY4HTXUJ1Kix,https://api.spotify.com/v1/tracks/366ZWAQxSeFY4HTXUJ1Kix,https://api.spotify.com/v1/audio-analysis/366ZWAQxSeFY4HTXUJ1Kix,3.0653333333333332,4
7DhuDQVyfsRjl0czAsadlB,Eraserland,Weird Ways,Strand of Oaks,False,24,0.263,0.503,6,-6.948,0,0.0386,0.0148,0.0171,0.11,0.255,112.019,audio_features,spotify:track:7DhuDQVyfsRjl0czAsadlB,https://api.spotify.com/v1/tracks/7DhuDQVyfsRjl0czAsadlB,https://api.spotify.com/v1/audio-analysis/7DhuDQVyfsRjl0czAsadlB,5.978,4
2AjzK5A4Cce7bB9pk2ivjz,Best Of,I Love My Man,Bent,False,29,0.607,0.672,6,-10.022,1,0.0283,0.000331,0.649,0.109,0.407,144.049,audio_features,spotify:track:2AjzK5A4Cce7bB9pk2ivjz,https://api.spotify.com/v1/tracks/2AjzK5A4Cce7bB9pk2ivjz,https://api.spotify.com/v1/audio-analysis/2AjzK5A4Cce7bB9pk2ivjz,5.825116666666666,4
4m22yZEx9BhuQOfAzdOO0Y,Forever Breathes the Lonely Word: Remastered Edition,Down but Not yet Out - 2018 Remaster,Felt,False,0,0.299,0.839,0,-6.238,1,0.035,0.0471,0.00064,0.383,0.587,149.171,audio_features,spotify:track:4m22yZEx9BhuQOfAzdOO0Y,https://api.spotify.com/v1/tracks/4m22yZEx9BhuQOfAzdOO0Y,https://api.spotify.com/v1/audio-analysis/4m22yZEx9BhuQOfAzdOO0Y,3.6066666666666665,4
4KhBvLbRr58rHPF24bdL9Q,Officer of Love,Officer of Love,Caamp,False,62,0.662,0.574,4,-8.696,1,0.0261,0.298,0.00902,0.115,0.948,109.085,audio_features,spotify:track:4KhBvLbRr58rHPF24bdL9Q,https://api.spotify.com/v1/tracks/4KhBvLbRr58rHPF24bdL9Q,https://api.spotify.com/v1/audio-analysis/4KhBvLbRr58rHPF24bdL9Q,3.99675,4
76GlO5H5RT6g7y0gev86Nk,"Kiss Me, Kiss Me, Kiss Me",Just like Heaven,The Cure,False,66,0.43,0.971,9,-3.845,1,0.0524,0.0271,2.16e-05,0.185,0.764,151.219,audio_features,spotify:track:76GlO5H5RT6g7y0gev86Nk,https://api.spotify.com/v1/tracks/76GlO5H5RT6g7y0gev86Nk,https://api.spotify.com/v1/audio-analysis/76GlO5H5RT6g7y0gev86Nk,3.533333333333333,4
3qBL3kCKXpuJ7hwzNdLM5Z,Anything Else,Anything Else,Himbrecht,False,10,0.706,0.531,2,-12.357,1,0.0463,0.0592,0.266,0.11,0.0787,118.981,audio_features,spotify:track:3qBL3kCKXpuJ7hwzNdLM5Z,https://api.spotify.com/v1/tracks/3qBL3kCKXpuJ7hwzNdLM5Z,https://api.spotify.com/v1/audio-analysis/3qBL3kCKXpuJ7hwzNdLM5Z,8.63865,4
3dwrdMzRoFTRYj44n2WwN8,We Are Together,We Are Together - Original Mix,Planet Of Sound,False,31,0.542,0.795,8,-6.818,1,0.032,0.0119,0.608,0.237,0.34,116.991,audio_features,spotify:track:3dwrdMzRoFTRYj44n2WwN8,https://api.spotify.com/v1/tracks/3dwrdMzRoFTRYj44n2WwN8,https://api.spotify.com/v1/audio-analysis/3dwrdMzRoFTRYj44n2WwN8,6.439683333333333,4
0FSOenCj42lbikl1vd5ah9,Cool Girl,Cool Girl,dodie,False,56,0.73,0.205,2,-15.489,1,0.0957,0.872,0.0593,0.095,0.206,124.989,audio_features,spotify:track:0FSOenCj42lbikl1vd5ah9,https://api.spotify.com/v1/tracks/0FSOenCj42lbikl1vd5ah9,https://api.spotify.com/v1/audio-analysis/0FSOenCj42lbikl1vd5ah9,3.3230833333333334,4
1ZBJc7LVVfnf6phmhiBejS,Hard Nose the Highway,Snow In San Anselmo,Van Morrison,False,35,0.497,0.388,9,-10.696,0,0.0364,0.469,0.0809,0.121,0.529,125.127,audio_features,spotify:track:1ZBJc7LVVfnf6phmhiBejS,https://api.spotify.com/v1/tracks/1ZBJc7LVVfnf6phmhiBejS,https://api.spotify.com/v1/audio-analysis/1ZBJc7LVVfnf6phmhiBejS,4.614883333333333,4
2SU21YLdwyTnqJpS7Jc3lD,Native Dancer,Ponta de Areia,Wayne Shorter,False,44,0.297,0.365,5,-8.348,1,0.0325,0.933,0.0274,0.0769,0.261,176.672,audio_features,spotify:track:2SU21YLdwyTnqJpS7Jc3lD,https://api.spotify.com/v1/tracks/2SU21YLdwyTnqJpS7Jc3lD,https://api.spotify.com/v1/audio-analysis/2SU21YLdwyTnqJpS7Jc3lD,5.261783333333334,4
3TVW2JepPAdMWNUQod7pvT,Miracle of Life,Miracle of Life,Bright Eyes,False,26,0.529,0.581,8,-9.311,1,0.0287,0.259,0.122,0.106,0.583,93.259,audio_features,spotify:track:3TVW2JepPAdMWNUQod7pvT,https://api.spotify.com/v1/tracks/3TVW2JepPAdMWNUQod7pvT,https://api.spotify.com/v1/audio-analysis/3TVW2JepPAdMWNUQod7pvT,3.6097333333333332,4
3JNqdKkwDVXOwrnd4NZNMa,The Hearse,Das Modell - Kraftwerk Cover,Wampire,False,13,0.53,0.822,4,-6.789,0,0.17,0.00071,0.686,0.0705,0.814,124.051,audio_features,spotify:track:3JNqdKkwDVXOwrnd4NZNMa,https://api.spotify.com/v1/tracks/3JNqdKkwDVXOwrnd4NZNMa,https://api.spotify.com/v1/audio-analysis/3JNqdKkwDVXOwrnd4NZNMa,3.67725,4
6pE2pIbpq1FHxvCwIOmqkS,Curiosity,Orchards,Wampire,False,15,0.531,0.594,1,-7.656,1,0.032,0.0042,0.386,0.199,0.75,104.677,audio_features,spotify:track:6pE2pIbpq1FHxvCwIOmqkS,https://api.spotify.com/v1/tracks/6pE2pIbpq1FHxvCwIOmqkS,https://api.spotify.com/v1/audio-analysis/6pE2pIbpq1FHxvCwIOmqkS,3.0166666666666666,4
0fDFzVTG8c2fW9EM5f1RHM,Quantum Leap,Indian Food,Dumbo Gets Mad,False,51,0.561,0.896,2,-4.903,1,0.0528,0.765,0.685,0.124,0.629,86.808,audio_features,spotify:track:0fDFzVTG8c2fW9EM5f1RHM,https://api.spotify.com/v1/tracks/0fDFzVTG8c2fW9EM5f1RHM,https://api.spotify.com/v1/audio-analysis/0fDFzVTG8c2fW9EM5f1RHM,3.5631,4
58uDCyprC3aa3x70fUv8dk,Monotonia,Monotonia,The Growlers,False,53,0.61,0.802,2,-4.582,0,0.0281,0.509,0.0149,0.104,0.756,122.071,audio_features,spotify:track:58uDCyprC3aa3x70fUv8dk,https://api.spotify.com/v1/tracks/58uDCyprC3aa3x70fUv8dk,https://api.spotify.com/v1/audio-analysis/58uDCyprC3aa3x70fUv8dk,4.0696666666666665,4
5OWUKkLu9nesbbD0bLwcRL,Hard Candy,Miles Away,Madonna,False,47,0.782,0.71,0,-4.394,1,0.0382,0.0447,0.0,0.095,0.762,115.995,audio_features,spotify:track:5OWUKkLu9nesbbD0bLwcRL,https://api.spotify.com/v1/tracks/5OWUKkLu9nesbbD0bLwcRL,https://api.spotify.com/v1/audio-analysis/5OWUKkLu9nesbbD0bLwcRL,4.815333333333333,4
2iG6tIT3Q7VuZJKnzAeLab,Highway Dancer,Wildflower,Calvin Love,False,0,0.583,0.241,9,-19.484,1,0.0361,0.766,0.381,0.0959,0.4,174.075,audio_features,spotify:track:2iG6tIT3Q7VuZJKnzAeLab,https://api.spotify.com/v1/tracks/2iG6tIT3Q7VuZJKnzAeLab,https://api.spotify.com/v1/audio-analysis/2iG6tIT3Q7VuZJKnzAeLab,4.5366,4
1UKobFsdqNXQb8OthimCKe,"Crosby, Stills & Nash",Helplessly Hoping - 2005 Remaster,"Crosby, Stills & Nash",False,66,0.567,0.159,7,-13.648,1,0.0331,0.914,0.0,0.111,0.436,146.913,audio_features,spotify:track:1UKobFsdqNXQb8OthimCKe,https://api.spotify.com/v1/tracks/1UKobFsdqNXQb8OthimCKe,https://api.spotify.com/v1/audio-analysis/1UKobFsdqNXQb8OthimCKe,2.63155,4
4VnrZj5hxHkKvY60VbpDLS,Where is the Heart of My Country,Where is the Heart of My Country,Caitlin Canty,False,36,0.457,0.129,3,-11.435,1,0.0324,0.715,2.25e-05,0.159,0.234,111.031,audio_features,spotify:track:4VnrZj5hxHkKvY60VbpDLS,https://api.spotify.com/v1/tracks/4VnrZj5hxHkKvY60VbpDLS,https://api.spotify.com/v1/audio-analysis/4VnrZj5hxHkKvY60VbpDLS,5.226933333333333,4
62x3LXgPj4ZmxKH4qHiUFF,Heterogaster,Easy,Mesadorm,False,28,0.493,0.211,11,-12.622,1,0.0655,0.754,1.09e-05,0.116,0.236,58.574,audio_features,spotify:track:62x3LXgPj4ZmxKH4qHiUFF,https://api.spotify.com/v1/tracks/62x3LXgPj4ZmxKH4qHiUFF,https://api.spotify.com/v1/audio-analysis/62x3LXgPj4ZmxKH4qHiUFF,3.9635666666666665,4
570uIR76noCLdDRXB0J5KK,Oh No! Oh My!,Walk In The Park,OH NO OH MY,False,26,0.647,0.335,3,-10.251,1,0.033,0.29,0.000109,0.0967,0.746,138.062,audio_features,spotify:track:570uIR76noCLdDRXB0J5KK,https://api.spotify.com/v1/tracks/570uIR76noCLdDRXB0J5KK,https://api.spotify.com/v1/audio-analysis/570uIR76noCLdDRXB0J5KK,2.37445,4
5qjhTlvBhulflfQD18xBIr,Night Falls Over Kortedala,Your Arms Around Me,Jens Lekman,False,32,0.412,0.599,9,-7.083,1,0.0377,0.0356,0.00012,0.336,0.268,105.693,audio_features,spotify:track:5qjhTlvBhulflfQD18xBIr,https://api.spotify.com/v1/tracks/5qjhTlvBhulflfQD18xBIr,https://api.spotify.com/v1/audio-analysis/5qjhTlvBhulflfQD18xBIr,5.042883333333333,4
2mNQhoBHL4NdcPyC0AuVXn,Oh No! Oh My!,I Have No Sister,OH NO OH MY,False,14,0.483,0.687,2,-9.066,1,0.0306,0.0731,0.000275,0.373,0.698,129.991,audio_features,spotify:track:2mNQhoBHL4NdcPyC0AuVXn,https://api.spotify.com/v1/tracks/2mNQhoBHL4NdcPyC0AuVXn,https://api.spotify.com/v1/audio-analysis/2mNQhoBHL4NdcPyC0AuVXn,3.05555,4
3UOrKWXdwUVtDglahh3OQj,The Best of Dire Straits & Mark Knopfler - Private Investigations (Limited Edition),Brothers In Arms,Dire Straits,False,0,0.414,0.429,8,-9.469,0,0.028,0.525,0.81,0.111,0.135,79.227,audio_features,spotify:track:3UOrKWXdwUVtDglahh3OQj,https://api.spotify.com/v1/tracks/3UOrKWXdwUVtDglahh3OQj,https://api.spotify.com/v1/audio-analysis/3UOrKWXdwUVtDglahh3OQj,6.96155,4
33PYfsUghmJi6rcKCfJ7my,The Essential Bruce Springsteen,Streets of Philadelphia,Bruce Springsteen,False,0,0.728,0.249,5,-15.429,1,0.0328,0.327,0.216,0.0875,0.452,93.683,audio_features,spotify:track:33PYfsUghmJi6rcKCfJ7my,https://api.spotify.com/v1/tracks/33PYfsUghmJi6rcKCfJ7my,https://api.spotify.com/v1/audio-analysis/33PYfsUghmJi6rcKCfJ7my,3.263333333333333,4
